Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Report_Type
A-26763-17,4,37XX Tall Pines Dr,CLOSED,35,SIMPLE BATTERY,2017-01-24 07:39:00,54 96,BATTERY,BLACK,FEMALE,34,BLACK,MALE,49,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
B-01138-17,7,85XX Huntington Park Dr,OPEN,64G,ARMED ROBBERY (GUN),2017-01-31 20:00:00,14 64,ARMED ROBBERY,BLACK,MALE,,ASIAN,MALE,42,Incident Report
A-04513-17,7,45XX Ray Av,OPEN,43B,SEXUAL BATTERY,2017-01-04 19:01:00,,,,,,,,,Incident Report
B-05917-17,3,41XX Old Gentilly Rd,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-06 04:02:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,26,WHITE,FEMALE,29,Incident Report
B-15526-17,6,34XX Baronne St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-14 10:00:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,26,WHITE,MALE,28,Incident Report
B-06319-17,8,3XX Canal St,OPEN,67S,SHOPLIFTING,2017-02-06 13:46:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-06319-17,8,3XX Canal St,OPEN,67S,SHOPLIFTING,2017-02-06 13:46:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-06319-17,8,3XX Canal St,OPEN,67S,SHOPLIFTING,2017-02-06 13:46:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-06319-17,8,3XX Canal St,OPEN,67S,SHOPLIFTING,2017-02-06 13:46:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
B-02023-17,5,14XX Reynes St,OPEN,21P,LOST PROPERTY,2017-02-02 09:00:00,,,,,,,,,Supplemental Report
B-19235-17,2,23XX Nashville Av,OPEN,62,SIMPLE BURGLARY,2017-02-17 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,WHITE,MALE,45,Incident Report
A-11142-17,7,39XX Downman Rd,OPEN,64G,ARMED ROBBERY (GUN),2017-01-10 21:41:00,,,,,,,,,Supplemental Report
B-09979-17,2,81XX Green St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-09 12:00:00,,,,,,WHITE,FEMALE,38,Incident Report
A-02041-17,5,39XX N Claiborne,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-02 17:39:00,,,,,,BLACK,FEMALE,42,Incident Report
A-30118-17,5,30XX N Prieur St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-26 04:30:00,14 62,SIMPLE BURGLARY,,,,BLACK,MALE,50,Incident Report
B-15288-17,8,Dumaine St & Chartres St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-14 02:20:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,MALE,39,,,,Incident Report
A-30941-17,5,11XX Music St B,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-27 03:00:00,,,,,,BLACK,FEMALE,53,Incident Report
A-07902-17,3,7XX Turquoise St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-07 18:00:00,,,,,,WHITE,MALE,53,Supplemental Report
A-32041-17,7,78XX Sail St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-28 15:00:00,,,,,,BLACK,FEMALE,42,Incident Report
B-00260-17,5,Almonaster St & Louisa Exit,CLOSED,103,DISTURBANCE,2017-02-01 07:20:00,54 403,DISTURBING THE PEACE,BLACK,MALE,67,BLACK,FEMALE,18,Incident Report
B-08315-17,7,73XX Alabama St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-08 08:55:00,,,,,,BLACK,MALE,35,Incident Report
A-31608-17,4,4XX Park Bd,OPEN,27-64G,ATTEMPTED ARMED ROBBERY (GUN),2017-01-28 02:55:00,14 (24) 56,PRINCIPAL TO CRIMINAL DAMAGE,BLACK,MALE,,BLACK,MALE,54,Incident Report
A-31608-17,4,4XX Park Bd,OPEN,27-64G,ATTEMPTED ARMED ROBBERY (GUN),2017-01-28 02:55:00,14 (24) 56,PRINCIPAL TO CRIMINAL DAMAGE,BLACK,MALE,,BLACK,MALE,54,Incident Report
A-03663-17,3,Chef Menteur Bd & Louisa St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-01-03 23:45:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,FEMALE,37,,,,Incident Report
A-15590-17,5,6XX Poland Av,CLOSED,62,SIMPLE BURGLARY,2017-01-14 12:42:00,14 95,ILLEGAL CARRYING OF WEAPON,WHITE,MALE,54,,,,Incident Report
A-01271-17,7,43XX Reynes St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-02 01:03:00,14 34,AGG. BATTERY,,,,BLACK,MALE,7,Incident Report
A-27835-17,6,19XX Saint Thomas St L,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-25 01:00:00,,,,,,BLACK,MALE,59,Incident Report
B-18694-17,1,12XX Saint Philip St,OPEN,64G,ARMED ROBBERY (GUN),2017-02-16 22:30:00,14 64,ARMED ROBBERY,BLACK,MALE,,BLACK,MALE,50,Supplemental Report
A-26411-17,2,Carrollton St & Olive St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-01-23 20:20:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,FEMALE,28,,,,Incident Report
A-31959-17,3,56XX Woodlawn D,OPEN,29U,UNCLASSIFIED DEATH,2017-01-28 13:33:00,,,,,,WHITE,MALE,,Incident Report
B-06779-17,2,Belfast St & Monroe St,CLOSED,103,DISTURBANCE,2017-02-06 20:20:00,54 405,PUBLIC DRUNK; DRUG INCAPACITATION,WHITE,MALE,36,BLACK,FEMALE,38,Incident Report
A-33236-17,4,Sullen Pl & Woodland Hw,CLOSED,17F,FUGITIVE ATTACHMENT,2017-01-29 17:35:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,47,,,,Incident Report
A-20180-17,5,30XX Ursula Spencer Wy,OPEN,966,DRUG LAW VIOLATION,2017-01-18 11:31:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,22,,,,Incident Report
B-01528-17,6,13XX Magazine St,OPEN,62B,SIMPLE BURGLARY (BUSINESS),2017-02-02 00:30:00,14 62,SIMPLE BURGLARY,UNKNOWN,MALE,,,,,Incident Report
A-23573-17,3,63XX General Haig St,OPEN,21P,LOST PROPERTY,2017-01-21 09:00:00,,,,,,,,,Supplemental Report
B-20591-17,2,54XX Annunciation St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-18 15:43:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),,,,WHITE,FEMALE,,Incident Report
B-20591-17,2,54XX Annunciation St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-18 15:43:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),,,,WHITE,FEMALE,,Incident Report
B-20462-17,7,78XX S Coronet Ct,OPEN,103,DISTURBANCE,2017-02-18 13:10:00,,,,,,BLACK,FEMALE,36,Incident Report
A-24595-17,3,35XX Piedmont St,OPEN,67A,AUTO THEFT,2017-01-22 12:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,FEMALE,53,Incident Report
A-04702-17,7,56XX Read Bd,OPEN,21P,LOST PROPERTY,2017-01-04 21:30:00,,,,,,,,,Incident Report
A-10387-17,2,43XX Magazine St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-01-10 10:29:00,,,,,,WHITE,MALE,45,Incident Report
B-17200-17,5,22XX Saint Claude Av,OPEN,67F,THEFT BY FRAUD,2017-02-15 17:45:00,14 67,THEFT,WHITE,MALE,,,,,Incident Report
B-17200-17,5,22XX Saint Claude Av,OPEN,67F,THEFT BY FRAUD,2017-02-15 17:45:00,14 67,THEFT,WHITE,MALE,,,,,Incident Report
A-01702-17,5,23XX Mazant St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-02 12:12:00,,,,,,BLACK,FEMALE,83,Incident Report
A-08691-17,8,Esplanade Av & Royal St,CLOSED,21P,LOST PROPERTY,2017-01-08 19:15:00,,,,,,,,,Supplemental Report
B-08562-17,3,25XX Mexico St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-08 13:25:00,,,,,,BLACK,MALE,15,Supplemental Report
A-24944-17,4,17XX Farragut St,OPEN,103M,DISTURBANCE (MENTAL),2017-01-22 16:30:00,,,,,,BLACK,FEMALE,20,Incident Report
A-30335-17,1,3XX S Lopez St,OPEN,64G,ARMED ROBBERY (GUN),2017-01-27 00:27:00,14 64.1,FIRST DEGREE ROBBERY,BLACK,MALE,,WHITE,FEMALE,47,Incident Report
B-09556-17,5,41XX St Claude Av,OPEN,103,DISTURBANCE,2017-02-08 07:20:00,,,,,,BLACK,FEMALE,39,Incident Report
A-15473-17,7,67XX Dwyer Rd,OPEN,93,CRUELTY TO A JUVENILE,2017-01-14 11:30:00,,,,,,,,,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
A-15977-17,5,26XX N Prieur St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-14 21:20:00,14 34,AGG. BATTERY,,,,BLACK,MALE,25,Incident Report
B-22411-17,8,Girod St & S Rampart St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-19 21:55:00,150 953,NEW BUSINESS; LICENSE DUE UPON COMMENCEMENT,BLACK,MALE,49,BLACK,FEMALE,,Incident Report
B-22411-17,8,Girod St & S Rampart St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-19 21:55:00,150 953,NEW BUSINESS; LICENSE DUE UPON COMMENCEMENT,BLACK,MALE,49,BLACK,FEMALE,,Incident Report
B-22411-17,8,Girod St & S Rampart St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-19 21:55:00,150 953,NEW BUSINESS; LICENSE DUE UPON COMMENCEMENT,BLACK,MALE,49,BLACK,FEMALE,,Incident Report
A-16595-17,4,10XX Brooklyn Av,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-15 13:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,WHITE,FEMALE,28,BLACK,MALE,28,Incident Report
A-30275-17,4,6XX Hendee St,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-01-26 23:15:00,,,,,,BLACK,MALE,65,Incident Report
A-28200-17,2,S Carrollton Av & Walmsley St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-01-25 10:20:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,FEMALE,30,,,,Incident Report
A-16397-17,7,64XX Bridgehampton Dr,OPEN,27-67A,ATTEMPTED AUTO THEFT,2017-01-14 12:05:00,14 (27) 67,ATTEMPT - THEFT,,,,BLACK,FEMALE,36,Incident Report
A-02044-17,3,22XX Lafreniere St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-01-02 12:30:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,72,Incident Report
B-05682-17,1,3XX S Gayoso St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-05 20:25:00,14 62,SIMPLE BURGLARY,,,,HISPANIC,MALE,45,Incident Report
A-14309-17,8,12XX Decatur St 6,OPEN,67B,BICYCLE THEFT,2017-01-13 10:30:00,14 67,THEFT,UNKNOWN,,,WHITE,FEMALE,29,Incident Report
A-33496-17,6,18XX 8th St,OPEN,21J,MISSING/RUNAWAY JUVENILE,2017-01-29 23:30:00,14 730.3,RELATIVE TO MISSING/RUNAWAY JUVENILE,WHITE,FEMALE,17,,,,Incident Report
A-33445-17,2,41XX Willow St,CLOSED,56,SIMPLE CRIMINAL DAMAGE,2017-01-29 22:15:00,54 151,CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,25,BLACK,MALE,57,Incident Report
B-06895-17,6,25XX Willow St,OPEN,38,SIMPLE ASSAULT,2017-02-06 23:35:00,14 38,SIMPLE ASSAULT,BLACK,MALE,,BLACK,FEMALE,49,Incident Report
B-06895-17,6,25XX Willow St,OPEN,38,SIMPLE ASSAULT,2017-02-06 23:35:00,14 38,SIMPLE ASSAULT,BLACK,MALE,,BLACK,FEMALE,49,Incident Report
A-03498-17,7,60XX Warfield Dr,OPEN,67A,AUTO THEFT,2017-01-03 20:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,MALE,24,Incident Report
B-07831-17,7,77XX Mayo Bd,CLOSED,21J,MISSING/RUNAWAY JUVENILE,2017-02-07 21:30:00,14 730.3,RELATIVE TO MISSING/RUNAWAY JUVENILE,BLACK,MALE,14,BLACK,FEMALE,40,Supplemental Report
A-22908-17,1,5XX N Rampart St,CLOSED,103R,DISTURBANCE (RIOT),2017-01-20 20:23:00,,,WHITE,MALE,27,,,,Incident Report
A-22908-17,1,5XX N Rampart St,CLOSED,103R,DISTURBANCE (RIOT),2017-01-20 20:23:00,,,WHITE,MALE,27,,,,Incident Report
A-02520-16,7,79XX Pebble St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-03 04:00:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,42,Incident Report
A-21638-17,4,XX Cypress Grove Ct,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-15 09:07:00,,,,,,BLACK,FEMALE,49,Incident Report
B-18600-17,5,Port St & Law St,CLOSED,966,DRUG LAW VIOLATION,2017-02-16 20:35:00,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,WHITE,MALE,53,,,,Incident Report
A-01702-17,5,23XX Mazant St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-02 12:12:00,,,,,,BLACK,MALE,43,Incident Report
A-13848-17,2,31XX Hamilton St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-13 02:37:00,,,,,,BLACK,FEMALE,55,Incident Report
A-08555-17,1,N Broad St & Saint Bernard St,CLOSED,27-65,ATTEMPTED SIMPLE ROBBERY,2017-01-08 15:00:00,14 65,SIMPLE ROBBERY,BLACK,MALE,18,,,,Supplemental Report
A-19149-17,5,17XX Frenchmen St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-17 18:10:00,,,,,,BLACK,MALE,58,Incident Report
A-15335-17,2,S Carrollton Av & Sycamore St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-14 08:30:00,,,,,,WHITE,FEMALE,32,Incident Report
B-02125-17,1,2XX N Broad St,OPEN,67S,SHOPLIFTING,2017-02-02 17:55:00,14 67,THEFT,,,,BLACK,FEMALE,23,Incident Report
B-03683-17,2,Broadway St & Freret St,CLOSED,21U,UNDERAGE DRINKING,2017-02-03 22:55:00,54 418,PURCHASE AND PUBLIC POSSESSION OF ALCOHOLIC BEVERAGES,WHITE,MALE,20,,,,Incident Report
B-02043-17,3,E I-10 St & W Louisa St Exit St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-02 16:03:00,14 000,OUT OF STATE FUGITIVE,BLACK,MALE,47,,,,Incident Report
B-23708-17,1,27XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-21 00:14:00,COURT CAPIAS,CDC WARRANT#,BLACK,MALE,56,WHITE,FEMALE,59,Incident Report
A-09115-17,8,Canal St & E Burgundy St,CLOSED,966,DRUG LAW VIOLATION,2017-01-09 06:35:00,54 407,ALCOHOL IN VEHICLE,BLACK,MALE,24,,,,Incident Report
B-20420-17,2,87XX Green St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-18 12:24:00,,,,,,BLACK,MALE,59,Incident Report
B-17988-17,3,62XX Cameron St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-11 11:00:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,28,Incident Report
A-15339-17,2,23XX Cambronne St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-14 03:24:00,,,,,,WHITE,MALE,55,Incident Report
B-03768-17,8,7XX Canal St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-03 23:30:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,MALE,44,,,,Incident Report
A-35774-17,1,16XX N Villere St,CLOSED,966,DRUG LAW VIOLATION,2017-01-31 21:45:00,102 113,DRUG PARAPHERNALIA,BLACK,MALE,57,,,,Incident Report
A-32788-17,5,13XX France St,OPEN,24,MEDICAL,2017-01-29 08:30:00,,,,,,WHITE,MALE,36,Incident Report
B-01897-17,3,6XX City Park Av,OPEN,21P,LOST PROPERTY,2017-01-04 15:30:00,,,,,,,,,Supplemental Report
B-18102-17,1,39XX Tulane Av,OPEN,43B,SEXUAL BATTERY,2017-02-12 15:00:00,,,,,,,,,Incident Report
A-16768-17,2,47XX Washington Av,CLOSED,103,DISTURBANCE,2017-01-14 18:00:00,,,,,,BLACK,MALE,16,Incident Report
A-16768-17,2,47XX Washington Av,CLOSED,103,DISTURBANCE,2017-01-14 18:00:00,,,,,,BLACK,MALE,16,Incident Report
A-33949-17,1,24XX Orleans Av,OPEN,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-01-30 13:00:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,27,,,,Incident Report
A-11404-17,5,17XX Louisa St,CLOSED,67A,AUTO THEFT,2017-01-11 06:50:00,14 67.26,THEFT OF A MOTOR VEHICLE,BLACK,MALE,16,BLACK,FEMALE,30,Supplemental Report
A-05094-17,8,7XX Baronne St,CLOSED,67S,SHOPLIFTING,2017-01-05 09:34:00,54 186,THEFT,WHITE,MALE,36,,,,Incident Report
A-15366-17,7,105XX Hayne Bd,OPEN,67A,AUTO THEFT,2017-01-14 09:00:00,14 68.4,UNAUTHORIZED USE OF A MOTOR VEHICLE,,,,BLACK,MALE,30,Supplemental Report
A-30728-17,5,33XX Oliver White Av,OPEN,67A,AUTO THEFT,2017-01-27 11:30:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,FEMALE,32,Incident Report
A-12745-17,5,15XX Gallier St,OPEN,29,DEATH,2017-01-12 08:15:00,,,,,,BLACK,FEMALE,86,Incident Report
A-08656-17,2,24XX Soniat St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-08 17:55:00,,,,,,BLACK,MALE,60,Incident Report
B-07305-17,6,28XX Freret St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-06 17:30:00,54 151,CRIMINAL DAMAGE TO PROPERTY,,,,BLACK,FEMALE,41,Incident Report
A-11634-17,6,13XX Clara St,OPEN,29,DEATH,2017-01-11 11:10:00,,,,,,BLACK,MALE,78,Incident Report
B-14484-17,5,28XX Urquhart St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-13 09:00:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,WHITE,MALE,63,Incident Report
B-14484-17,5,28XX Urquhart St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-13 09:00:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,WHITE,MALE,63,Incident Report
A-34069-17,1,9XX N Galvez St,OPEN,21P,LOST PROPERTY,2017-01-29 04:00:00,,,,,,,,,Supplemental Report
A-28140-17,8,6XX Saint Joseph St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-25 09:53:00,,,,,,BLACK,FEMALE,,Incident Report
B-26170-17,7,71XX Chef Menteur Hw,OPEN,103M,DISTURBANCE (MENTAL),2017-02-23 09:00:00,,,,,,BLACK,MALE,32,Incident Report
A-26582-17,6,Martin Luther King Jr Av & S Claiborne Av,OPEN,18,TRAFFIC INCIDENT,2017-01-24 00:57:00,,,,,,BLACK,MALE,26,Incident Report
A-32580-17,8,7XX Conti St,CLOSED,966,DRUG LAW VIOLATION,2017-01-29 01:45:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,22,,,,Incident Report
A-01784-17,8,5XX Girod St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-02 04:30:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,44,Incident Report
B-13206-17,8,Poydras St & O'Keefe St,CLOSED,35,SIMPLE BATTERY,2017-02-12 02:35:00,14 34.2,BATTERY OF A POLICE OFFICER,BLACK,MALE,31,BLACK,MALE,,Incident Report
B-13206-17,8,Poydras St & O'Keefe St,CLOSED,35,SIMPLE BATTERY,2017-02-12 02:35:00,14 34.2,BATTERY OF A POLICE OFFICER,BLACK,MALE,31,BLACK,MALE,,Incident Report
A-22869-17,8,7XX Canal St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-20 19:42:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,WHITE,MALE,,,,,Incident Report
B-00723-17,5,20XX Bartholomew St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-01-31 12:24:00,14 62,SIMPLE BURGLARY,,,,WHITE,MALE,73,Incident Report
B-11258-17,3,51XX Wilton Dr,OPEN,21P,LOST PROPERTY,2017-02-02 04:10:00,,,,,,BLACK,FEMALE,56,Supplemental Report
A-14474-17,5,N Tonti St & Almonaster Av,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-13 15:18:00,14 34,AGG. BATTERY,,,,BLACK,MALE,60,Incident Report
A-14474-17,5,N Tonti St & Almonaster Av,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-13 15:18:00,14 34,AGG. BATTERY,,,,BLACK,MALE,60,Incident Report
A-02988-17,4,4XX O'Bannon St,OPEN,80,CARNAL KNOWLEDGE OF A JUVENILE,2017-01-02 16:00:00,,,BLACK,MALE,,HISPANIC,FEMALE,,Incident Report
A-09704-17,8,10XX Canal St,OPEN,65,SIMPLE ROBBERY,2017-01-01 19:30:00,14 65,SIMPLE ROBBERY,BLACK,MALE,,BLACK,MALE,63,Incident Report
B-01121-17,5,18XX Almonaster Av,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2017-02-01 20:30:00,14 91.8,SALE/PURCHASE OF TOBACCO UNDER 18,BLACK,MALE,17,,,,Incident Report
A-00700-17,5,24XX N Robertson St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-01 12:25:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,BLACK,FEMALE,52,Incident Report
A-05410-17,1,22XX Onzaga St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-05 14:53:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,,BLACK,FEMALE,25,Incident Report
A-00888-17,8,3XX Royal St,UNFOUNDED,21P,LOST PROPERTY,2017-01-01 05:00:00,,,,,,,,,Supplemental Report
A-34828-17,7,46XX Viola St,OPEN,67A,AUTO THEFT,2017-01-31 06:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,MALE,28,Incident Report
A-19017-17,7,1XX Oak Ridge Ct,OPEN,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-01-17 16:30:00,14 37.7,DOMESTIC ABUSE AGGRAVATED ASSAULT,BLACK,MALE,37,BLACK,FEMALE,34,Incident Report
A-24912-17,1,17XX N Broad St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-22 17:57:00,,,,,,BLACK,FEMALE,15,Incident Report
A-26504-17,4,36XX General De Gaulle Dr,CLOSED,67S,SHOPLIFTING,2017-01-23 22:40:00,54 186,THEFT,BLACK,MALE,67,WHITE,MALE,22,Supplemental Report
A-22284-17,2,53XX Tchoupitoulas St,OPEN,62,SIMPLE BURGLARY,2017-01-20 09:00:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,,,,Incident Report
A-21098-17,2,49XX Freret St,OPEN,62B,SIMPLE BURGLARY (BUSINESS),2017-01-19 01:45:00,14 62,SIMPLE BURGLARY,,,,WHITE,MALE,26,Incident Report
A-11429-17,4,9XX Atlantic Av,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-11 07:30:00,,,,,,BLACK,MALE,26,Incident Report
A-23558-17,3,41XX S Carrollton Av,OPEN,67S,SHOPLIFTING,2017-01-21 11:20:00,14 67.10,THEFT OF GOODS,BLACK,FEMALE,,BLACK,FEMALE,52,Incident Report
A-28229-17,7,110XX Morrison Rd,OPEN,67S,SHOPLIFTING,2017-01-25 11:02:00,,,BLACK,MALE,,BLACK,FEMALE,32,Incident Report
A-12914-17,1,26XX Tulane Av,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-01-12 02:45:00,14 67,THEFT,,,,WHITE,MALE,40,Incident Report
A-11582-17,7,202XX San Rocco St,OPEN,67A,AUTO THEFT,2017-01-08 05:15:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,WHITE,MALE,54,Supplemental Report
A-17737-17,1,15XX Canal St,OPEN,67A,AUTO THEFT,2017-01-16 15:00:00,,,,,,WHITE,MALE,28,Supplemental Report
A-10209-17,2,21XX Broadway St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-10 01:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,BLACK,MALE,55,Incident Report
A-11097-17,4,Belleville St & Homer St,OPEN,30S,HOMICIDE (SHOOTING),2017-01-10 20:55:00,14 55,AGG. CRIMINAL DAMAGE,,,,BLACK,MALE,21,Supplemental Report
